Floor_Area,Neiborhood,Room,Year_Built,Price
92,1,3,1405,25500000000
107,1,2,1399,35000000000
255,1,4,1405,1.3E+11
170,1,3,1405,51500000000
68,1,1,1394,9900000000
240,1,4,1401,1.15E+11
126,2,2,1405,41580000000
190,2,3,1389,54000000000
206,2,3,1404,1.54E+11
95,2,2,1397,27500000000
72,2,2,1395,23000000000
255,3,3,1399,1.87E+11
160,3,3,1399,63800000000
204,3,3,1404,1.18E+11
50,3,1,1397,7500000000
62,3,2,1393,6500000000
110,3,2,1387,17300000000
85,3,2,1398,27200000000
50,3,1,1385,7000000000
68,3,2,1380,10800000000
120,2,2,1394,40000000000
95,2,2,1391,24220000000
141,2,3,1403,55000000000
450,2,4,1405,67000000000
120,2,3,1404,38500000000
